id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,bars_held,session,year
1396,2020-08-18 16:45:00,2020-08-18 17:00:00,-1,2004.6764137028729,2009.8514418198597,1994.3263574688992,1994.5838714096926,tp,0.01,10.022542293180258,1.950239122383102,1,ny,2020
1397,2020-08-18 19:00:00,2020-08-18 23:00:00,1,2006.313983109404,1998.9565418907825,2021.028865546647,2003.6911552586166,timeout,0.01,-2.6928278507874164,-0.35648641597694436,16,ny,2020
1398,2020-08-19 11:45:00,2020-08-19 12:30:00,1,1995.634659821629,1991.165919593893,2004.572140277101,1990.8579531219618,sl,0.01,-4.846706699667102,-1.068915724843381,3,london,2020
1399,2020-08-19 16:30:00,2020-08-19 17:30:00,-1,1986.737323393567,1992.0610103055008,1976.0899495696995,1976.3752785246431,tp,0.01,10.29204486892393,1.9464038814334006,4,ny,2020
1400,2020-08-19 19:30:00,2020-08-19 21:00:00,-1,1961.3320514781742,1968.469049041268,1947.0580563519868,1968.7960885795862,sl,0.01,-7.534037101412033,-1.0458231259611876,6,ny,2020
1401,2020-08-20 17:15:00,2020-08-20 21:15:00,1,1938.8998228481119,1931.4852628549454,1953.7289428344448,1945.7007537082998,timeout,0.01,6.730930860187919,0.9172399800468166,16,ny,2020
1402,2020-08-21 10:00:00,2020-08-21 10:45:00,-1,1938.0638695934224,1942.6844188794007,1928.8227710214658,1942.994004674474,sl,0.01,-5.0001350810515035,-1.0670019462864881,3,london,2020
1403,2020-08-21 12:45:00,2020-08-21 13:30:00,1,1935.7919024149983,1931.538255025795,1944.2991971934046,1931.2637785214392,sl,0.01,-4.598123893559041,-1.0645273289583135,3,london,2020
1404,2020-08-21 15:30:00,2020-08-21 15:45:00,-1,1931.6571220088695,1938.4127695878215,1918.1458268509657,1938.7358725751365,sl,0.01,-7.148750566266991,-1.047827093337678,1,ny,2020
1405,2020-08-21 17:45:00,2020-08-21 18:30:00,1,1945.148380812388,1937.1196206605148,1961.2059011161346,1936.8530453658304,sl,0.01,-8.365335446557602,-1.033202548044999,3,ny,2020
1406,2020-08-24 10:00:00,2020-08-24 11:45:00,1,1942.83449642425,1939.112969209737,1950.277550853276,1949.9402268596405,tp,0.01,7.03573043539057,1.9093587190979708,7,london,2020
1407,2020-08-24 16:00:00,2020-08-24 17:30:00,-1,1945.1806494575644,1950.3707496583156,1934.8004490560618,1935.0544437026235,tp,0.01,10.056205754940883,1.9510617065688327,6,ny,2020
1408,2020-08-24 19:30:00,2020-08-24 20:00:00,-1,1928.037170769436,1933.4949138947075,1917.1216845188933,1933.800781324355,sl,0.01,-5.833610554919069,-1.0560428409009066,2,ny,2020
1409,2020-08-25 10:45:00,2020-08-25 11:00:00,1,1935.2982534401287,1932.4900533521463,1940.9146536160933,1932.1803807171032,sl,0.01,-3.1878727230255843,-1.110274419678428,1,london,2020
1410,2020-08-25 15:30:00,2020-08-25 16:00:00,-1,1924.5065395824317,1928.8732237186402,1915.7731713100147,1929.2155549748713,sl,0.01,-4.779015392439597,-1.0783961572563685,2,ny,2020
1411,2020-08-25 18:30:00,2020-08-25 19:00:00,-1,1915.2712190985037,1920.537535801501,1904.7385856925093,1920.855450338345,sl,0.01,-5.654231239841302,-1.0603675310037963,2,ny,2020
1412,2020-08-26 08:00:00,2020-08-26 09:00:00,-1,1921.014594568838,1923.5012471642767,1916.0412893779608,1916.3868754313798,tp,0.01,4.557719137458143,1.8610235888787923,4,london,2020
1413,2020-08-26 11:30:00,2020-08-26 12:15:00,1,1922.378075746791,1918.9025305288267,1929.3291661827195,1918.5786230659248,sl,0.01,-3.8694526808661247,-1.0931961584696528,3,london,2020
1414,2020-08-26 15:15:00,2020-08-26 16:00:00,-1,1909.1234787528435,1913.0031675968648,1901.3641010648007,1913.2751669407976,sl,0.01,-4.221688187954051,-1.0701085460376303,3,ny,2020
1415,2020-08-26 18:15:00,2020-08-26 22:15:00,1,1944.4212516340249,1937.9608104977767,1957.3421339065212,1951.766364590285,timeout,0.01,7.275112956260209,1.1369367511218915,16,ny,2020
1416,2020-08-27 12:00:00,2020-08-27 15:15:00,-1,1942.9178045960439,1946.0873065895798,1936.5788006089722,1936.873922138388,tp,0.01,5.973882457655854,1.906887097715051,13,london,2020
1417,2020-08-27 18:30:00,2020-08-27 22:30:00,1,1929.0662798937817,1917.5610072797508,1952.0768251218435,1930.7673589450026,timeout,0.01,1.6310790512208586,0.14785212904441397,16,ny,2020
1418,2020-08-28 09:30:00,2020-08-28 10:45:00,1,1946.6883844684335,1943.0811990528416,1953.9027552996172,1942.7668822984874,sl,0.01,-3.991502169946052,-1.0871362899715602,5,london,2020
1419,2020-08-28 14:15:00,2020-08-28 15:30:00,1,1960.8249827422565,1956.4582121100714,1969.5585240066264,1956.181165102133,sl,0.01,-4.713817640123416,-1.0634443691400628,5,ny,2020
