signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,r_multiple,initial_risk
7b284849-d4f,SHORT,2020-11-03 07:45:00,2020-11-03 09:00:00,1890.62,1895.19,1895.19,1881.48,41.338878401992865,invalidated,5,-4.57,-1.0,4.57
9d0c2a5d-a8d,LONG,2020-11-03 15:45:00,2020-11-03 19:00:00,1907.33,1906.47,1900.88,1920.22,36.8145873637501,score_decayed,13,-0.86,-0.133,6.45
044d2edb-82a,LONG,2020-11-04 00:30:00,2020-11-04 00:45:00,1908.55,1901.86,1901.86,1921.93,39.15626348275374,invalidated,1,-6.69,-1.0,6.69
68051d2f-12d,SHORT,2020-11-04 02:30:00,2020-11-04 02:45:00,1886.45,1893.45,1898.86,1861.64,48.24929020617709,regime_shifted,1,-7.0,-0.564,12.41
7839e5fb-b13,LONG,2020-11-05 09:30:00,2020-11-05 12:15:00,1917.7,1920.19,1911.36,1930.38,55.661481265507106,time_expired,11,2.49,0.393,6.34
eca847b6-1a0,LONG,2020-11-05 13:15:00,2020-11-05 15:00:00,1927.8,1940.64,1921.38,1940.64,55.13643665624538,target_reached,7,12.84,2.0,6.42
afcbf482-c7d,LONG,2020-11-05 16:30:00,2020-11-05 17:30:00,1947.26,1947.45,1938.6,1964.59,42.337757722465184,score_decayed,4,0.19,0.022,8.66
d3fa0faa-3d9,SHORT,2020-11-06 16:00:00,2020-11-06 16:15:00,1951.37,1952.45,1962.52,1929.07,40.92612785426768,regime_shifted,1,-1.08,-0.097,11.15
9a9b8a2f-7fb,SHORT,2020-11-30 03:30:00,2020-11-30 07:15:00,1769.9,1777.88,1777.88,1753.93,41.42857142857143,invalidated,15,-7.98,-1.0,7.98
82e9534a-f1f,LONG,2020-12-01 06:45:00,2020-12-01 08:00:00,1786.12,1794.2,1782.08,1794.2,41.03596520992414,target_reached,5,8.08,2.0,4.04
001909d2-618,LONG,2020-12-01 09:00:00,2020-12-01 12:00:00,1792.28,1801.29,1787.78,1801.29,41.42857142857143,target_reached,12,9.01,2.002,4.5
56de4847-dde,LONG,2020-12-01 15:00:00,2020-12-01 18:45:00,1807.82,1814.29,1801.64,1820.19,54.30878588002546,time_expired,15,6.47,1.047,6.18
d0d5505c-2bd,LONG,2020-12-01 19:45:00,2020-12-01 23:15:00,1813.52,1812.19,1808.33,1823.9,47.1880809468839,score_decayed,14,-1.33,-0.256,5.19
ef0bf671-f93,LONG,2020-12-02 21:45:00,2020-12-03 01:00:00,1830.53,1830.05,1826.99,1837.6,52.496883464841254,score_decayed,13,-0.48,-0.136,3.54
72bcbc14-72f,LONG,2020-12-03 03:30:00,2020-12-03 08:15:00,1837.09,1839.41,1832.56,1846.15,43.68485416190936,time_expired,19,2.32,0.512,4.53
277b1376-ecc,LONG,2020-12-03 11:15:00,2020-12-03 13:30:00,1841.18,1835.84,1835.84,1851.87,38.1699743787807,invalidated,9,-5.34,-1.0,5.34
a74bd085-eaf,LONG,2020-12-07 17:45:00,2020-12-07 19:30:00,1865.34,1860.17,1858.69,1878.64,41.42857142857143,score_decayed,7,-5.17,-0.777,6.65
8eca071b-a54,LONG,2020-12-08 03:30:00,2020-12-08 07:15:00,1868.04,1867.4,1862.82,1878.48,53.49456447760758,score_decayed,15,-0.64,-0.123,5.22
934e5a5d-231,SHORT,2020-12-09 04:00:00,2020-12-09 06:00:00,1856.43,1861.58,1861.58,1846.13,42.142857142857146,invalidated,8,-5.15,-1.0,5.15
dd26a65c-70d,SHORT,2020-12-09 07:45:00,2020-12-09 08:45:00,1860.02,1865.06,1865.06,1849.94,53.486899790061074,invalidated,4,-5.04,-1.0,5.04
a855bd91-9f3,SHORT,2020-12-09 18:45:00,2020-12-09 20:00:00,1825.5,1834.34,1834.34,1807.83,41.42857142857143,invalidated,5,-8.84,-1.0,8.84
47b2a43e-824,SHORT,2020-12-09 21:00:00,2020-12-10 01:45:00,1838.28,1839.37,1846.89,1821.07,39.45781824866063,time_expired,19,-1.09,-0.127,8.61
b98e63b6-523,LONG,2020-12-15 11:00:00,2020-12-15 14:45:00,1843.88,1853.93,1838.85,1853.93,41.42857142857143,target_reached,15,10.05,1.998,5.03
0ccbd23f-7d7,LONG,2020-12-15 21:15:00,2020-12-16 00:15:00,1853.73,1852.23,1848.28,1864.63,39.81824676852086,score_decayed,12,-1.5,-0.275,5.45
dad2b6e4-773,LONG,2020-12-17 05:30:00,2020-12-17 08:15:00,1866.98,1876.35,1862.29,1876.35,36.77184981299281,target_reached,11,9.37,1.998,4.69
9068ed86-7aa,LONG,2020-12-17 09:15:00,2020-12-17 12:00:00,1876.95,1876.66,1871.35,1888.16,41.257073212214216,time_expired,11,-0.29,-0.052,5.6
1315a230-f39,LONG,2020-12-21 03:00:00,2020-12-21 06:15:00,1895.26,1905.14,1890.32,1905.14,40.86210548549928,target_reached,13,9.88,2.0,4.94
b89b64b5-758,LONG,2020-12-21 08:15:00,2020-12-21 09:45:00,1897.04,1890.57,1890.57,1909.99,39.01687634244273,invalidated,6,-6.47,-1.0,6.47
e111908a-787,SHORT,2020-12-21 16:00:00,2020-12-21 16:15:00,1877.38,1878.91,1889.42,1853.29,49.33860521925357,regime_shifted,1,-1.53,-0.127,12.04
